learning_rate,depth,batch_size,recall,precision,f1_score
0.001,3,2,0.77,0.78,0.77
0.001,3,4,0.76,0.76,0.76
0.001,3,8,0.76,0.76,0.76
0.001,4,2,0.75,0.78,0.77
0.001,4,4,0.76,0.79,0.77
0.001,4,8,0.75,0.79,0.77
0.001,5,2,0.79,0.78,0.78
0.001,5,4,0.77,0.79,0.78
0.001,5,8,0.75,0.78,0.76
1e-05,3,2,0.78,0.76,0.77
1e-05,3,4,0.77,0.76,0.76
1e-05,3,8,0.73,0.75,0.74
1e-05,4,2,0.78,0.78,0.78
1e-05,4,4,0.78,0.77,0.78
1e-05,4,8,0.78,0.76,0.77
1e-05,5,2,0.77,0.76,0.77
1e-05,5,4,0.77,0.76,0.77
1e-05,5,8,0.76,0.75,0.76
1e-07,3,2,0.55,0.51,0.53
1e-07,3,4,0.52,0.45,0.48
1e-07,3,8,0.46,0.43,0.44
1e-07,4,2,0.6,0.56,0.58
1e-07,4,4,0.53,0.51,0.52
1e-07,4,8,0.6,0.51,0.55
1e-07,5,2,0.56,0.51,0.53
1e-07,5,4,0.51,0.49,0.5
1e-07,5,8,0.42,0.49,0.45
